
Dem-06-4747-13552-Oto10.tif  --- Object 1
Dem-08-6978-20058-Oto5.tif  --- Object 40
Year	Width
2005 	 984.0031
2006 	 838.8647
2007 	 870.9677
2008 	 661.2903

Dem-08-6978-20058-Oto6.tif  --- Object 41
Year	Width
2004 	 1129.0322
2005 	 661.2903
2006 	 532.5024
2007 	 549.335
2008 	 355.2051

Dem-08-6978-20058-Oto7.tif  --- Object 42
Year	Width
2006 	 984.0031
2007 	 1661.2903
2008 	 2322.6366

Dem-08-6978-20058-Oto9.tif  --- Object 43
Year	Width
2007 	 1290.4234
2008 	 1387.0968
